Dato;Starttid;Sluttid;Rode;Enhet;Varighet;Distanse (km)
29. feb. 2024;17:45:19;22:51:21;Hyttegrenda;8810;4:38:31;17.9
18. mars 2024;11:14:53;11:57:42;Hyttegrenda;9389;0:40:38;9.7
23. mars 2024;15:57:37;19:06:05;Hyttegrenda;8810;2:25:56;9.1
23. mars 2024;09:09:50;19:00:43;Hyttegrenda;9389;7:25:45;30.3
24. mars 2024;06:29:38;09:12:34;Hyttegrenda;9389;2:39:10;14.4
27. mars 2024;07:49:31;10:32:09;Hyttegrenda;8810;2:15:01;12.4
4. apr. 2024;11:58:23;13:18:49;Hyttegrenda;8810;0:36:55;7.2
5. apr. 2024;07:51:59;09:16:30;Hyttegrenda;8810;1:22:14;12.3
18. nov. 2024;10:17:29;13:42:52;Hyttegrenda;8810;2:37:36;211.9
24. nov. 2024;09:38:33;11:32:05;Hyttegrenda;8810;1:12:06;81.8
15. des. 2024;10:26:23;12:24:53;Hyttegrenda;8810;1:47:19;14.4
15. des. 2024;10:26:23;12:25:01;Hyttegrenda;8894;0:48:28;6.3
20. des. 2024;20:59:18;23:59:57;Hyttegrenda;8810;2:53:32;15.6
20. des. 2024;20:57:47;23:58:44;Hyttegrenda;8894;2:54:49;14.2
21. des. 2024;00:00:03;20:07:15;Hyttegrenda;8810;4:37:49;31.1
21. des. 2024;00:00:14;01:07:02;Hyttegrenda;8894;0:59:12;5.9
21. des. 2024;13:26:35;13:39:04;Hyttegrenda;9389;0:12:36;4.5
22. des. 2024;09:58:34;16:10:31;Hyttegrenda;8810;5:52:32;31.8
24. des. 2024;11:50:32;15:34:45;Hyttegrenda;8810;3:14:10;20.1
24. des. 2024;11:36:23;15:34:56;Hyttegrenda;8894;3:38:53;15.8
25. des. 2024;09:51:52;10:35:05;Hyttegrenda;8810;0:42:02;10.2
27. des. 2024;15:34:01;16:23:29;Hyttegrenda;8810;0:48:22;10.6
30. des. 2024;07:41:08;10:57:57;Hyttegrenda;8810;3:03:07;22.7
31. des. 2024;23:55:39;23:58:44;Hyttegrenda;8810;0:03:01;0.4
31. des. 2024;21:34:20;23:56:50;Hyttegrenda;8894;1:43:48;9.6
1. jan. 2025;00:00:09;14:23:02;Hyttegrenda;8810;3:59:35;32
1. jan. 2025;00:01:20;20:39:29;Hyttegrenda;8894;7:19:49;16.6
3. jan. 2025;09:10:20;20:47:20;Hyttegrenda;8894;9:49:49;31.1
5. jan. 2025;09:39:18;16:11:52;Hyttegrenda;8894;6:07:30;22.4
6. jan. 2025;18:38:54;20:50:48;Hyttegrenda;8894;2:07:21;12.7
7. jan. 2025;08:26:53;12:31:35;Hyttegrenda;8894;2:58:53;10.3
10. jan. 2025;08:06:38;11:56:16;Hyttegrenda;8810;3:10:11;11.7
10. jan. 2025;07:59:07;11:57:21;Hyttegrenda;8894;3:29:21;11.3
13. jan. 2025;13:21:26;15:21:01;Hyttegrenda;8810;1:15:02;18
13. jan. 2025;10:14:38;14:01:00;Hyttegrenda;8894;3:11:18;20.9
17. jan. 2025;10:11:10;11:27:16;Hyttegrenda;8894;1:12:26;9.2
25. jan. 2025;09:18:49;13:20:02;Hyttegrenda;8894;3:48:35;27.2
25. jan. 2025;07:19:41;07:45:06;Hyttegrenda;9389;0:25:23;7.1
26. jan. 2025;08:59:03;10:06:51;Hyttegrenda;8894;1:07:43;11.1
27. jan. 2025;07:15:44;08:00:54;Hyttegrenda;8810;0:43:55;10.8
27. jan. 2025;12:04:09;15:44:40;Hyttegrenda;8894;3:25:15;16.8
28. jan. 2025;05:05:33;05:45:40;Hyttegrenda;8894;0:39:33;9.6
30. jan. 2025;17:26:25;21:38:37;Hyttegrenda;8810;3:58:33;10.3
30. jan. 2025;17:25:02;21:21:33;Hyttegrenda;8894;3:42:52;15.2
7. feb. 2025;08:59:41;10:57:21;Hyttegrenda;8894;1:53:47;12.1
15. feb. 2025;07:58:27;13:01:02;Hyttegrenda;8894;4:51:02;24.3
16. feb. 2025;08:24:55;09:30:19;Hyttegrenda;8894;1:00:26;10.3
21. feb. 2025;09:30:29;14:00:51;Hyttegrenda;8894;2:37:32;23.7
22. feb. 2025;09:13:18;10:12:58;Hyttegrenda;8894;0:56:52;11.8
27. feb. 2025;06:51:25;07:33:52;Hyttegrenda;8894;0:42:09;8.4
30. mars 2025;08:06:24;08:32:56;Hyttegrenda;8894;0:24:12;8.4
22. apr. 2025;09:05:55;10:36:44;Hyttegrenda;8894;1:28:31;20.6

Totalt;;;;;506:47:34;2921.6
