referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2023-01-27 00:50:00+00:00,19,-9.6,,,,,,,2023-01-27 00:50:00+00:00
2023-01-27 01:00:00+00:00,19,-9.8,-3.6,1.5,166.0,0.0,68.0,-8.5,2023-01-27 01:00:00+00:00
2023-01-27 01:10:00+00:00,19,-9.7,,,,,,,2023-01-27 01:10:00+00:00
2023-01-27 01:20:00+00:00,19,-9.8,,,,,,,2023-01-27 01:20:00+00:00
2023-01-27 01:30:00+00:00,19,-9.3,,,,,,,2023-01-27 01:30:00+00:00
2023-01-27 01:40:00+00:00,19,-9.2,,,,,,,2023-01-27 01:40:00+00:00
2023-01-27 01:50:00+00:00,19,-7.7,,,,,,,2023-01-27 01:50:00+00:00
2023-01-27 02:00:00+00:00,19,-7.1,-3.7,0.4,162.0,0.0,72.0,-8.1,2023-01-27 02:00:00+00:00
2023-01-27 02:10:00+00:00,19,-6.6,,,,,,,2023-01-27 02:10:00+00:00
2023-01-27 02:20:00+00:00,19,-6.4,,,,,,,2023-01-27 02:20:00+00:00
2023-01-27 02:30:00+00:00,19,-6.4,,,,,,,2023-01-27 02:30:00+00:00
2023-01-27 02:40:00+00:00,19,-6.7,,,,,,,2023-01-27 02:40:00+00:00
2023-01-27 02:50:00+00:00,19,-6.5,,,,,,,2023-01-27 02:50:00+00:00
2023-01-27 03:00:00+00:00,19,-5.8,-2.7,1.2,196.0,0.0,75.0,-6.3,2023-01-27 03:00:00+00:00
2023-01-27 03:10:00+00:00,19,-5.5,,,,,,,2023-01-27 03:10:00+00:00
2023-01-27 03:20:00+00:00,19,-5.1,,,,,,,2023-01-27 03:20:00+00:00
2023-01-27 03:30:00+00:00,19,-4.9,,,,,,,2023-01-27 03:30:00+00:00
2023-01-27 03:40:00+00:00,19,-4.9,,,,,,,2023-01-27 03:40:00+00:00
2023-01-27 03:50:00+00:00,19,-5.1,,,,,,,2023-01-27 03:50:00+00:00
2023-01-27 04:00:00+00:00,19,-4.8,-2.6,0.9,187.0,0.0,76.0,-6.3,2023-01-27 04:00:00+00:00
2023-01-27 04:10:00+00:00,19,-4.7,,,,,,,2023-01-27 04:10:00+00:00
2023-01-27 04:20:00+00:00,19,-4.7,,,,,,,2023-01-27 04:20:00+00:00
2023-01-27 04:30:00+00:00,19,-4.5,,,,,,,2023-01-27 04:30:00+00:00
2023-01-27 04:40:00+00:00,19,-4.5,,,,,,,2023-01-27 04:40:00+00:00
2023-01-27 04:50:00+00:00,19,-4.4,,,,,,,2023-01-27 04:50:00+00:00
2023-01-27 05:00:00+00:00,19,-4.3,-2.5,1.0,210.0,0.0,80.0,-5.3,2023-01-27 05:00:00+00:00
2023-01-27 05:10:00+00:00,19,-4.4,,,,,,,2023-01-27 05:10:00+00:00
2023-01-27 05:20:00+00:00,19,-4.2,,,,,,,2023-01-27 05:20:00+00:00
2023-01-27 05:30:00+00:00,19,-4.1,,,,,,,2023-01-27 05:30:00+00:00
2023-01-27 05:40:00+00:00,19,-4.0,,,,,,,2023-01-27 05:40:00+00:00
2023-01-27 05:50:00+00:00,19,-4.0,,,,,,,2023-01-27 05:50:00+00:00
2023-01-27 06:00:00+00:00,19,-4.0,-2.5,0.9,173.0,0.0,82.0,-5.0,2023-01-27 06:00:00+00:00
2023-01-27 06:10:00+00:00,19,-3.9,,,,,,,2023-01-27 06:10:00+00:00
2023-01-27 06:20:00+00:00,19,-3.8,,,,,,,2023-01-27 06:20:00+00:00
2023-01-27 06:30:00+00:00,19,-3.8,,,,,,,2023-01-27 06:30:00+00:00
2023-01-27 06:40:00+00:00,19,-3.8,,,,,,,2023-01-27 06:40:00+00:00
2023-01-27 06:50:00+00:00,19,-3.7,,,,,,,2023-01-27 06:50:00+00:00
2023-01-27 07:00:00+00:00,19,-3.7,-2.4,0.4,172.0,0.0,85.0,-4.7,2023-01-27 07:00:00+00:00
2023-01-27 07:10:00+00:00,19,-3.7,,,,,,,2023-01-27 07:10:00+00:00
2023-01-27 07:20:00+00:00,19,-3.6,,,,,,,2023-01-27 07:20:00+00:00
2023-01-27 07:30:00+00:00,19,-3.6,,,,,,,2023-01-27 07:30:00+00:00
2023-01-27 07:40:00+00:00,19,-3.6,,,,,,,2023-01-27 07:40:00+00:00
2023-01-27 07:50:00+00:00,19,-3.5,,,,,,,2023-01-27 07:50:00+00:00
2023-01-27 08:00:00+00:00,20,-3.5,-2.6,0.7,171.0,0.0,92.0,-3.8,2023-01-27 08:00:00+00:00
2023-01-27 08:10:00+00:00,20,-3.7,,,,,,,2023-01-27 08:10:00+00:00
2023-01-27 08:20:00+00:00,20,-4.3,,,,,,,2023-01-27 08:20:00+00:00
2023-01-27 08:30:00+00:00,20,-4.1,,,,,,,2023-01-27 08:30:00+00:00
2023-01-27 08:40:00+00:00,20,-4.0,,,,,,,2023-01-27 08:40:00+00:00
2023-01-27 08:50:00+00:00,20,-3.7,,,,,,,2023-01-27 08:50:00+00:00
2023-01-27 09:00:00+00:00,20,-3.4,-2.3,0.4,190.0,0.0,92.0,-3.3,2023-01-27 09:00:00+00:00
2023-01-27 09:10:00+00:00,20,-3.3,,,,,,,2023-01-27 09:10:00+00:00
2023-01-27 09:20:00+00:00,20,-3.1,,,,,,,2023-01-27 09:20:00+00:00
2023-01-27 09:30:00+00:00,20,-2.9,,,,,,,2023-01-27 09:30:00+00:00
2023-01-27 09:40:00+00:00,20,-2.9,,,,,,,2023-01-27 09:40:00+00:00
2023-01-27 09:50:00+00:00,20,-2.9,,,,,,,2023-01-27 09:50:00+00:00
2023-01-27 10:00:00+00:00,20,-2.8,-1.7,0.5,163.0,0.0,88.0,-3.3,2023-01-27 10:00:00+00:00
2023-01-27 10:10:00+00:00,20,-2.9,,,,,,,2023-01-27 10:10:00+00:00
2023-01-27 10:20:00+00:00,20,-2.7,,,,,,,2023-01-27 10:20:00+00:00
2023-01-27 10:30:00+00:00,20,-2.7,,,,,,,2023-01-27 10:30:00+00:00
2023-01-27 10:40:00+00:00,20,-2.6,,,,,,,2023-01-27 10:40:00+00:00
2023-01-27 10:50:00+00:00,20,-2.5,,,,,,,2023-01-27 10:50:00+00:00
2023-01-27 11:00:00+00:00,20,-2.5,-1.6,0.5,4.0,0.0,83.0,-4.1,2023-01-27 11:00:00+00:00
2023-01-27 11:10:00+00:00,20,-2.3,,,,,,,2023-01-27 11:10:00+00:00
2023-01-27 11:20:00+00:00,20,-2.3,,,,,,,2023-01-27 11:20:00+00:00
2023-01-27 11:30:00+00:00,20,-2.1,,,,,,,2023-01-27 11:30:00+00:00
2023-01-27 11:40:00+00:00,20,-2.0,,,,,,,2023-01-27 11:40:00+00:00
2023-01-27 11:50:00+00:00,20,-2.0,,,,,,,2023-01-27 11:50:00+00:00
2023-01-27 12:00:00+00:00,20,-2.0,-1.2,0.4,327.0,0.0,81.0,-4.1,2023-01-27 12:00:00+00:00
2023-01-27 12:10:00+00:00,20,-2.1,,,,,,,2023-01-27 12:10:00+00:00
2023-01-27 12:20:00+00:00,20,-2.0,,,,,,,2023-01-27 12:20:00+00:00
2023-01-27 12:30:00+00:00,20,-2.0,,,,,,,2023-01-27 12:30:00+00:00
2023-01-27 12:40:00+00:00,20,-2.1,,,,,,,2023-01-27 12:40:00+00:00
2023-01-27 12:50:00+00:00,20,-1.9,,,,,,,2023-01-27 12:50:00+00:00
2023-01-27 13:00:00+00:00,20,-1.8,-1.0,0.7,229.0,0.0,82.0,-3.5,2023-01-27 13:00:00+00:00
2023-01-27 13:10:00+00:00,20,-2.2,,,,,,,2023-01-27 13:10:00+00:00
2023-01-27 13:20:00+00:00,20,-2.4,,,,,,,2023-01-27 13:20:00+00:00
2023-01-27 13:30:00+00:00,20,-2.5,,,,,,,2023-01-27 13:30:00+00:00
2023-01-27 13:40:00+00:00,20,-2.5,,,,,,,2023-01-27 13:40:00+00:00
2023-01-27 13:50:00+00:00,20,-2.7,,,,,,,2023-01-27 13:50:00+00:00
2023-01-27 14:00:00+00:00,20,-2.6,-1.7,0.9,261.0,0.0,80.0,-4.7,2023-01-27 14:00:00+00:00
2023-01-27 14:10:00+00:00,20,-2.5,,,,,,,2023-01-27 14:10:00+00:00
2023-01-27 14:20:00+00:00,20,-2.6,,,,,,,2023-01-27 14:20:00+00:00
2023-01-27 14:30:00+00:00,20,-2.6,,,,,,,2023-01-27 14:30:00+00:00
2023-01-27 14:40:00+00:00,20,-2.7,,,,,,,2023-01-27 14:40:00+00:00
2023-01-27 14:50:00+00:00,20,-2.9,,,,,,,2023-01-27 14:50:00+00:00
2023-01-27 15:00:00+00:00,20,-3.1,-2.0,0.0,0.0,0.0,83.0,-4.4,2023-01-27 15:00:00+00:00
2023-01-27 15:10:00+00:00,20,-3.0,,,,,,,2023-01-27 15:10:00+00:00
2023-01-27 15:20:00+00:00,20,-3.0,,,,,,,2023-01-27 15:20:00+00:00
2023-01-27 15:30:00+00:00,20,-3.2,,,,,,,2023-01-27 15:30:00+00:00
2023-01-27 15:40:00+00:00,20,-3.0,,,,,,,2023-01-27 15:40:00+00:00
2023-01-27 15:50:00+00:00,20,-3.0,,,,,,,2023-01-27 15:50:00+00:00
2023-01-27 16:00:00+00:00,20,-2.9,-2.4,0.0,0.0,0.0,92.0,-3.5,2023-01-27 16:00:00+00:00
2023-01-27 16:10:00+00:00,20,-2.9,,,,,,,2023-01-27 16:10:00+00:00
2023-01-27 16:20:00+00:00,20,-2.9,,,,,,,2023-01-27 16:20:00+00:00
2023-01-27 16:30:00+00:00,20,-3.0,,,,,,,2023-01-27 16:30:00+00:00
2023-01-27 16:40:00+00:00,20,-3.0,,,,,,,2023-01-27 16:40:00+00:00
2023-01-27 16:50:00+00:00,20,-3.1,,,,,,,2023-01-27 16:50:00+00:00
2023-01-27 17:00:00+00:00,20,-3.4,-2.6,0.7,112.0,0.0,93.0,-3.5,2023-01-27 17:00:00+00:00
2023-01-27 17:10:00+00:00,20,-3.7,,,,,,,2023-01-27 17:10:00+00:00
2023-01-27 17:20:00+00:00,20,-3.5,,,,,,,2023-01-27 17:20:00+00:00
2023-01-27 17:30:00+00:00,20,-3.3,,,,,,,2023-01-27 17:30:00+00:00
2023-01-27 17:40:00+00:00,20,-3.2,,,,,,,2023-01-27 17:40:00+00:00
2023-01-27 17:50:00+00:00,20,-3.2,,,,,,,2023-01-27 17:50:00+00:00
2023-01-27 18:00:00+00:00,20,-3.1,-2.7,0.9,168.0,0.0,94.0,-3.5,2023-01-27 18:00:00+00:00
2023-01-27 18:10:00+00:00,20,-3.0,,,,,,,2023-01-27 18:10:00+00:00
2023-01-27 18:20:00+00:00,20,-3.1,,,,,,,2023-01-27 18:20:00+00:00
2023-01-27 18:30:00+00:00,20,-3.0,,,,,,,2023-01-27 18:30:00+00:00
2023-01-27 18:40:00+00:00,20,-3.0,,,,,,,2023-01-27 18:40:00+00:00
2023-01-27 18:50:00+00:00,20,-2.9,,,,,,,2023-01-27 18:50:00+00:00
2023-01-27 19:00:00+00:00,20,-2.9,-2.4,1.0,157.0,0.0,90.0,-3.8,2023-01-27 19:00:00+00:00
2023-01-27 19:10:00+00:00,20,-2.9,,,,,,,2023-01-27 19:10:00+00:00
2023-01-27 19:20:00+00:00,20,-2.9,,,,,,,2023-01-27 19:20:00+00:00
2023-01-27 19:30:00+00:00,20,-2.8,,,,,,,2023-01-27 19:30:00+00:00
