referenceTime,surface_snow_thickness,surface_temperature,air_temperature,wind_speed,wind_from_direction,sum(precipitation_amount PT1H),relative_humidity,dew_point_temperature,time
2023-12-30 14:00:00+00:00,45,-7.5,-2.9,2.5,193.0,0.0,75.0,-6.7,2023-12-30 14:00:00+00:00
2023-12-30 14:10:00+00:00,45,-7.6,,,,,,,2023-12-30 14:10:00+00:00
2023-12-30 14:20:00+00:00,45,-7.9,,,,,,,2023-12-30 14:20:00+00:00
2023-12-30 14:30:00+00:00,45,-8.9,,,,,,,2023-12-30 14:30:00+00:00
2023-12-30 14:40:00+00:00,45,-8.0,,,,,,,2023-12-30 14:40:00+00:00
2023-12-30 14:50:00+00:00,45,-8.2,,,,,,,2023-12-30 14:50:00+00:00
2023-12-30 15:00:00+00:00,45,-8.5,-3.4,2.0,184.0,0.0,74.0,-7.0,2023-12-30 15:00:00+00:00
2023-12-30 15:10:00+00:00,45,-8.8,,,,,,,2023-12-30 15:10:00+00:00
2023-12-30 15:20:00+00:00,45,-7.4,,,,,,,2023-12-30 15:20:00+00:00
2023-12-30 15:30:00+00:00,45,-7.2,,,,,,,2023-12-30 15:30:00+00:00
2023-12-30 15:40:00+00:00,45,-7.9,,,,,,,2023-12-30 15:40:00+00:00
2023-12-30 15:50:00+00:00,45,-8.2,,,,,,,2023-12-30 15:50:00+00:00
2023-12-30 16:00:00+00:00,45,-8.0,-3.0,2.5,187.0,0.0,74.0,-7.0,2023-12-30 16:00:00+00:00
2023-12-30 16:10:00+00:00,45,-9.1,,,,,,,2023-12-30 16:10:00+00:00
2023-12-30 16:20:00+00:00,45,-10.1,,,,,,,2023-12-30 16:20:00+00:00
2023-12-30 16:30:00+00:00,45,-10.0,,,,,,,2023-12-30 16:30:00+00:00
2023-12-30 16:40:00+00:00,45,-7.9,,,,,,,2023-12-30 16:40:00+00:00
2023-12-30 16:50:00+00:00,45,-9.0,,,,,,,2023-12-30 16:50:00+00:00
2023-12-30 17:00:00+00:00,45,-9.4,-3.5,1.8,168.0,0.0,77.0,-7.0,2023-12-30 17:00:00+00:00
2023-12-30 17:10:00+00:00,45,-8.7,,,,,,,2023-12-30 17:10:00+00:00
2023-12-30 17:20:00+00:00,45,-8.1,,,,,,,2023-12-30 17:20:00+00:00
2023-12-30 17:30:00+00:00,45,-7.6,,,,,,,2023-12-30 17:30:00+00:00
2023-12-30 17:40:00+00:00,45,-9.1,,,,,,,2023-12-30 17:40:00+00:00
2023-12-30 17:50:00+00:00,44,-8.6,,,,,,,2023-12-30 17:50:00+00:00
2023-12-30 18:00:00+00:00,44,-9.0,-3.1,2.1,200.0,0.0,74.0,-7.0,2023-12-30 18:00:00+00:00
2023-12-30 18:10:00+00:00,44,-9.6,,,,,,,2023-12-30 18:10:00+00:00
2023-12-30 18:20:00+00:00,44,-9.8,,,,,,,2023-12-30 18:20:00+00:00
2023-12-30 18:30:00+00:00,44,-8.9,,,,,,,2023-12-30 18:30:00+00:00
2023-12-30 18:40:00+00:00,44,-8.3,,,,,,,2023-12-30 18:40:00+00:00
2023-12-30 18:50:00+00:00,45,-7.8,,,,,,,2023-12-30 18:50:00+00:00
2023-12-30 19:00:00+00:00,45,-7.8,-3.4,3.1,189.0,0.0,72.0,-7.4,2023-12-30 19:00:00+00:00
2023-12-30 19:10:00+00:00,45,-7.6,,,,,,,2023-12-30 19:10:00+00:00
2023-12-30 19:20:00+00:00,45,-7.7,,,,,,,2023-12-30 19:20:00+00:00
2023-12-30 19:30:00+00:00,44,-7.0,,,,,,,2023-12-30 19:30:00+00:00
2023-12-30 19:40:00+00:00,45,-7.1,,,,,,,2023-12-30 19:40:00+00:00
2023-12-30 19:50:00+00:00,45,-7.1,,,,,,,2023-12-30 19:50:00+00:00
2023-12-30 20:00:00+00:00,44,-6.9,-3.4,2.9,192.0,0.0,75.0,-7.0,2023-12-30 20:00:00+00:00
2023-12-30 20:10:00+00:00,44,-6.9,,,,,,,2023-12-30 20:10:00+00:00
2023-12-30 20:20:00+00:00,44,-7.0,,,,,,,2023-12-30 20:20:00+00:00
2023-12-30 20:30:00+00:00,44,-6.6,,,,,,,2023-12-30 20:30:00+00:00
2023-12-30 20:40:00+00:00,44,-7.3,,,,,,,2023-12-30 20:40:00+00:00
2023-12-30 20:50:00+00:00,44,-7.1,,,,,,,2023-12-30 20:50:00+00:00
2023-12-30 21:00:00+00:00,44,-7.3,-3.6,2.7,155.0,0.0,76.0,-7.0,2023-12-30 21:00:00+00:00
2023-12-30 21:10:00+00:00,44,-7.1,,,,,,,2023-12-30 21:10:00+00:00
2023-12-30 21:20:00+00:00,44,-6.1,,,,,,,2023-12-30 21:20:00+00:00
2023-12-30 21:30:00+00:00,44,-7.0,,,,,,,2023-12-30 21:30:00+00:00
2023-12-30 21:40:00+00:00,44,-6.1,,,,,,,2023-12-30 21:40:00+00:00
2023-12-30 21:50:00+00:00,44,-5.5,,,,,,,2023-12-30 21:50:00+00:00
2023-12-30 22:00:00+00:00,44,-5.2,-2.9,8.1,125.0,0.0,75.0,-6.7,2023-12-30 22:00:00+00:00
2023-12-30 22:10:00+00:00,44,-5.3,,,,,,,2023-12-30 22:10:00+00:00
2023-12-30 22:20:00+00:00,44,-5.0,,,,,,,2023-12-30 22:20:00+00:00
2023-12-30 22:30:00+00:00,44,-5.0,,,,,,,2023-12-30 22:30:00+00:00
2023-12-30 22:40:00+00:00,43,-4.5,,,,,,,2023-12-30 22:40:00+00:00
2023-12-30 22:50:00+00:00,42,-5.1,,,,,,,2023-12-30 22:50:00+00:00
2023-12-30 23:00:00+00:00,42,-5.3,-2.3,5.4,132.0,0.0,72.0,-6.7,2023-12-30 23:00:00+00:00
2023-12-30 23:10:00+00:00,42,-4.9,,,,,,,2023-12-30 23:10:00+00:00
2023-12-30 23:20:00+00:00,42,-5.4,,,,,,,2023-12-30 23:20:00+00:00
2023-12-30 23:30:00+00:00,42,-5.5,,,,,,,2023-12-30 23:30:00+00:00
2023-12-30 23:40:00+00:00,41,-5.2,,,,,,,2023-12-30 23:40:00+00:00
2023-12-30 23:50:00+00:00,41,-5.2,,,,,,,2023-12-30 23:50:00+00:00
2023-12-31 00:00:00+00:00,41,-5.3,-1.7,7.0,141.0,0.0,67.0,-7.0,2023-12-31 00:00:00+00:00
2023-12-31 00:10:00+00:00,40,-4.8,,,,,,,2023-12-31 00:10:00+00:00
2023-12-31 00:20:00+00:00,39,-4.6,,,,,,,2023-12-31 00:20:00+00:00
2023-12-31 00:30:00+00:00,39,-4.7,,,,,,,2023-12-31 00:30:00+00:00
2023-12-31 00:40:00+00:00,39,-5.2,,,,,,,2023-12-31 00:40:00+00:00
2023-12-31 00:50:00+00:00,39,-5.0,,,,,,,2023-12-31 00:50:00+00:00
2023-12-31 01:00:00+00:00,39,-5.0,-2.5,10.7,135.0,0.0,70.0,-7.0,2023-12-31 01:00:00+00:00
2023-12-31 01:10:00+00:00,39,-4.8,,,,,,,2023-12-31 01:10:00+00:00
2023-12-31 01:20:00+00:00,39,-5.1,,,,,,,2023-12-31 01:20:00+00:00
2023-12-31 01:30:00+00:00,39,-5.0,,,,,,,2023-12-31 01:30:00+00:00
2023-12-31 01:40:00+00:00,39,-4.8,,,,,,,2023-12-31 01:40:00+00:00
2023-12-31 01:50:00+00:00,39,-4.6,,,,,,,2023-12-31 01:50:00+00:00
2023-12-31 02:00:00+00:00,39,-4.4,-2.9,9.4,129.0,0.0,73.0,-7.0,2023-12-31 02:00:00+00:00
2023-12-31 02:10:00+00:00,39,-4.4,,,,,,,2023-12-31 02:10:00+00:00
2023-12-31 02:20:00+00:00,39,-4.2,,,,,,,2023-12-31 02:20:00+00:00
2023-12-31 02:30:00+00:00,39,-4.1,,,,,,,2023-12-31 02:30:00+00:00
2023-12-31 02:40:00+00:00,39,-4.1,,,,,,,2023-12-31 02:40:00+00:00
2023-12-31 02:50:00+00:00,39,-4.1,,,,,,,2023-12-31 02:50:00+00:00
2023-12-31 03:00:00+00:00,39,-4.3,-3.0,11.1,133.0,0.0,76.0,-6.7,2023-12-31 03:00:00+00:00
2023-12-31 03:10:00+00:00,39,-4.2,,,,,,,2023-12-31 03:10:00+00:00
2023-12-31 03:20:00+00:00,39,-4.2,,,,,,,2023-12-31 03:20:00+00:00
2023-12-31 03:30:00+00:00,39,-4.1,,,,,,,2023-12-31 03:30:00+00:00
2023-12-31 03:40:00+00:00,39,-4.3,,,,,,,2023-12-31 03:40:00+00:00
2023-12-31 03:50:00+00:00,39,-4.2,,,,,,,2023-12-31 03:50:00+00:00
2023-12-31 04:00:00+00:00,39,-4.0,-2.8,11.6,135.0,0.0,76.0,-6.3,2023-12-31 04:00:00+00:00
2023-12-31 04:10:00+00:00,39,-3.9,,,,,,,2023-12-31 04:10:00+00:00
2023-12-31 04:20:00+00:00,39,-3.6,,,,,,,2023-12-31 04:20:00+00:00
2023-12-31 04:30:00+00:00,39,-3.8,,,,,,,2023-12-31 04:30:00+00:00
2023-12-31 04:40:00+00:00,39,-3.9,,,,,,,2023-12-31 04:40:00+00:00
2023-12-31 04:50:00+00:00,39,-4.0,,,,,,,2023-12-31 04:50:00+00:00
2023-12-31 05:00:00+00:00,39,-4.0,-3.2,14.4,134.0,0.0,79.0,-6.3,2023-12-31 05:00:00+00:00
2023-12-31 05:10:00+00:00,39,-4.0,,,,,,,2023-12-31 05:10:00+00:00
2023-12-31 05:20:00+00:00,39,-4.0,,,,,,,2023-12-31 05:20:00+00:00
2023-12-31 05:30:00+00:00,39,-4.0,,,,,,,2023-12-31 05:30:00+00:00
2023-12-31 05:40:00+00:00,39,-4.1,,,,,,,2023-12-31 05:40:00+00:00
2023-12-31 05:50:00+00:00,39,-4.1,,,,,,,2023-12-31 05:50:00+00:00
2023-12-31 06:00:00+00:00,39,-4.0,-3.4,12.6,147.0,0.0,79.0,-6.3,2023-12-31 06:00:00+00:00
2023-12-31 06:10:00+00:00,39,-3.9,,,,,,,2023-12-31 06:10:00+00:00
2023-12-31 06:20:00+00:00,39,-3.9,,,,,,,2023-12-31 06:20:00+00:00
2023-12-31 06:30:00+00:00,39,-3.8,,,,,,,2023-12-31 06:30:00+00:00
2023-12-31 06:40:00+00:00,39,-3.9,,,,,,,2023-12-31 06:40:00+00:00
2023-12-31 06:50:00+00:00,39,-4.0,,,,,,,2023-12-31 06:50:00+00:00
2023-12-31 07:00:00+00:00,39,-4.2,-3.0,14.4,138.0,0.0,75.0,-6.7,2023-12-31 07:00:00+00:00
2023-12-31 07:10:00+00:00,39,-4.1,,,,,,,2023-12-31 07:10:00+00:00
2023-12-31 07:20:00+00:00,39,-4.1,,,,,,,2023-12-31 07:20:00+00:00
2023-12-31 07:30:00+00:00,39,-4.0,,,,,,,2023-12-31 07:30:00+00:00
2023-12-31 07:40:00+00:00,39,-3.8,,,,,,,2023-12-31 07:40:00+00:00
2023-12-31 07:50:00+00:00,39,-3.8,,,,,,,2023-12-31 07:50:00+00:00
2023-12-31 08:00:00+00:00,39,-4.1,-3.1,11.5,140.0,0.0,77.0,-6.3,2023-12-31 08:00:00+00:00
2023-12-31 08:10:00+00:00,39,-3.7,,,,,,,2023-12-31 08:10:00+00:00
2023-12-31 08:20:00+00:00,39,-3.7,,,,,,,2023-12-31 08:20:00+00:00
2023-12-31 08:30:00+00:00,39,-3.8,,,,,,,2023-12-31 08:30:00+00:00
2023-12-31 08:40:00+00:00,39,-3.8,,,,,,,2023-12-31 08:40:00+00:00
2023-12-31 08:50:00+00:00,39,-3.6,,,,,,,2023-12-31 08:50:00+00:00
2023-12-31 09:00:00+00:00,39,-3.7,-2.9,13.3,138.0,0.0,77.0,-6.3,2023-12-31 09:00:00+00:00
2023-12-31 09:10:00+00:00,39,-3.6,,,,,,,2023-12-31 09:10:00+00:00
2023-12-31 09:20:00+00:00,39,-3.7,,,,,,,2023-12-31 09:20:00+00:00
2023-12-31 09:30:00+00:00,39,-3.6,,,,,,,2023-12-31 09:30:00+00:00
2023-12-31 09:40:00+00:00,39,-3.7,,,,,,,2023-12-31 09:40:00+00:00
2023-12-31 09:50:00+00:00,39,-3.9,,,,,,,2023-12-31 09:50:00+00:00
2023-12-31 10:00:00+00:00,39,-3.9,-3.1,16.3,147.0,0.0,77.0,-6.3,2023-12-31 10:00:00+00:00
2023-12-31 10:10:00+00:00,39,-3.9,,,,,,,2023-12-31 10:10:00+00:00
2023-12-31 10:20:00+00:00,39,-3.7,,,,,,,2023-12-31 10:20:00+00:00
2023-12-31 10:30:00+00:00,39,-3.6,,,,,,,2023-12-31 10:30:00+00:00
2023-12-31 10:40:00+00:00,39,-3.6,,,,,,,2023-12-31 10:40:00+00:00
2023-12-31 10:50:00+00:00,39,-3.6,,,,,,,2023-12-31 10:50:00+00:00
2023-12-31 11:00:00+00:00,39,-3.5,-2.4,13.2,147.0,0.0,76.0,-6.0,2023-12-31 11:00:00+00:00
2023-12-31 11:10:00+00:00,39,-3.7,,,,,,,2023-12-31 11:10:00+00:00
2023-12-31 11:20:00+00:00,39,-3.4,,,,,,,2023-12-31 11:20:00+00:00
2023-12-31 11:30:00+00:00,39,-3.6,,,,,,,2023-12-31 11:30:00+00:00
2023-12-31 11:40:00+00:00,39,-3.5,,,,,,,2023-12-31 11:40:00+00:00
2023-12-31 11:50:00+00:00,39,-3.8,,,,,,,2023-12-31 11:50:00+00:00
2023-12-31 12:00:00+00:00,39,-3.8,-2.6,16.4,150.0,0.0,75.0,-6.3,2023-12-31 12:00:00+00:00
2023-12-31 12:10:00+00:00,39,-3.7,,,,,,,2023-12-31 12:10:00+00:00
2023-12-31 12:20:00+00:00,39,-3.9,,,,,,,2023-12-31 12:20:00+00:00
2023-12-31 12:30:00+00:00,39,-3.7,,,,,,,2023-12-31 12:30:00+00:00
2023-12-31 12:40:00+00:00,39,-3.9,,,,,,,2023-12-31 12:40:00+00:00
2023-12-31 12:50:00+00:00,39,-4.1,,,,,,,2023-12-31 12:50:00+00:00
2023-12-31 13:00:00+00:00,39,-4.1,-2.9,12.6,146.0,0.0,78.0,-6.3,2023-12-31 13:00:00+00:00
2023-12-31 13:10:00+00:00,39,-4.1,,,,,,,2023-12-31 13:10:00+00:00
2023-12-31 13:20:00+00:00,39,-4.1,,,,,,,2023-12-31 13:20:00+00:00
2023-12-31 13:30:00+00:00,39,-4.1,,,,,,,2023-12-31 13:30:00+00:00
2023-12-31 13:40:00+00:00,39,-4.2,,,,,,,2023-12-31 13:40:00+00:00
2023-12-31 13:50:00+00:00,39,-4.1,,,,,,,2023-12-31 13:50:00+00:00
2023-12-31 14:00:00+00:00,39,-4.3,-3.1,16.0,151.0,0.0,76.0,-6.7,2023-12-31 14:00:00+00:00
2023-12-31 14:10:00+00:00,39,-4.2,,,,,,,2023-12-31 14:10:00+00:00
2023-12-31 14:20:00+00:00,39,-4.2,,,,,,,2023-12-31 14:20:00+00:00
2023-12-31 14:30:00+00:00,39,-4.2,,,,,,,2023-12-31 14:30:00+00:00
2023-12-31 14:40:00+00:00,39,-4.2,,,,,,,2023-12-31 14:40:00+00:00
2023-12-31 14:50:00+00:00,39,-4.3,,,,,,,2023-12-31 14:50:00+00:00
2023-12-31 15:00:00+00:00,39,-4.1,-3.0,18.0,150.0,0.0,76.0,-6.7,2023-12-31 15:00:00+00:00
2023-12-31 15:10:00+00:00,39,-4.1,,,,,,,2023-12-31 15:10:00+00:00
2023-12-31 15:20:00+00:00,39,-4.1,,,,,,,2023-12-31 15:20:00+00:00
2023-12-31 15:30:00+00:00,39,-4.1,,,,,,,2023-12-31 15:30:00+00:00
2023-12-31 15:40:00+00:00,39,-4.0,,,,,,,2023-12-31 15:40:00+00:00
2023-12-31 15:50:00+00:00,39,-3.9,,,,,,,2023-12-31 15:50:00+00:00
2023-12-31 16:00:00+00:00,39,-3.9,-2.5,17.7,151.0,0.0,75.0,-6.3,2023-12-31 16:00:00+00:00
2023-12-31 16:10:00+00:00,39,-3.9,,,,,,,2023-12-31 16:10:00+00:00
2023-12-31 16:20:00+00:00,39,-3.9,,,,,,,2023-12-31 16:20:00+00:00
2023-12-31 16:30:00+00:00,38,-4.0,,,,,,,2023-12-31 16:30:00+00:00
2023-12-31 16:40:00+00:00,39,-4.2,,,,,,,2023-12-31 16:40:00+00:00
2023-12-31 16:50:00+00:00,39,-4.1,,,,,,,2023-12-31 16:50:00+00:00
2023-12-31 17:00:00+00:00,39,-4.0,-2.5,13.9,149.0,0.0,73.0,-6.7,2023-12-31 17:00:00+00:00
2023-12-31 17:10:00+00:00,39,-4.0,,,,,,,2023-12-31 17:10:00+00:00
2023-12-31 17:20:00+00:00,39,-4.1,,,,,,,2023-12-31 17:20:00+00:00
2023-12-31 17:30:00+00:00,38,-4.2,,,,,,,2023-12-31 17:30:00+00:00
2023-12-31 17:40:00+00:00,38,-4.2,,,,,,,2023-12-31 17:40:00+00:00
2023-12-31 17:50:00+00:00,39,-4.0,,,,,,,2023-12-31 17:50:00+00:00
2023-12-31 18:00:00+00:00,38,-4.0,-2.2,13.0,153.0,0.0,69.0,-7.0,2023-12-31 18:00:00+00:00
2023-12-31 18:10:00+00:00,38,-3.8,,,,,,,2023-12-31 18:10:00+00:00
2023-12-31 18:20:00+00:00,39,-3.7,,,,,,,2023-12-31 18:20:00+00:00
2023-12-31 18:30:00+00:00,38,-3.8,,,,,,,2023-12-31 18:30:00+00:00
2023-12-31 18:40:00+00:00,38,-4.0,,,,,,,2023-12-31 18:40:00+00:00
2023-12-31 18:50:00+00:00,38,-3.9,,,,,,,2023-12-31 18:50:00+00:00
2023-12-31 19:00:00+00:00,39,-4.0,-2.3,14.6,162.0,0.0,70.0,-7.0,2023-12-31 19:00:00+00:00
2023-12-31 19:10:00+00:00,38,-4.2,,,,,,,2023-12-31 19:10:00+00:00
2023-12-31 19:20:00+00:00,39,-4.3,,,,,,,2023-12-31 19:20:00+00:00
2023-12-31 19:30:00+00:00,39,-4.5,,,,,,,2023-12-31 19:30:00+00:00
2023-12-31 19:40:00+00:00,38,-4.7,,,,,,,2023-12-31 19:40:00+00:00
2023-12-31 19:50:00+00:00,38,-4.6,,,,,,,2023-12-31 19:50:00+00:00
2023-12-31 20:00:00+00:00,38,-4.6,-3.2,18.6,166.0,0.0,72.0,-7.4,2023-12-31 20:00:00+00:00
2023-12-31 20:10:00+00:00,38,-4.5,,,,,,,2023-12-31 20:10:00+00:00
2023-12-31 20:20:00+00:00,38,-4.7,,,,,,,2023-12-31 20:20:00+00:00
2023-12-31 20:30:00+00:00,38,-4.8,,,,,,,2023-12-31 20:30:00+00:00
2023-12-31 20:40:00+00:00,38,-4.9,,,,,,,2023-12-31 20:40:00+00:00
2023-12-31 20:50:00+00:00,38,-5.1,,,,,,,2023-12-31 20:50:00+00:00
2023-12-31 21:00:00+00:00,38,-5.2,-3.9,12.6,165.0,0.1,74.0,-7.8,2023-12-31 21:00:00+00:00
2023-12-31 21:10:00+00:00,38,-5.3,,,,,,,2023-12-31 21:10:00+00:00
2023-12-31 21:20:00+00:00,38,-5.4,,,,,,,2023-12-31 21:20:00+00:00
2023-12-31 21:30:00+00:00,38,-5.4,,,,,,,2023-12-31 21:30:00+00:00
